model,samples,mae,rmse,mape,inference_seconds,site_id
rf,108,55.468024691357925,76.04152367109835,12.518316232020418,0.03143980004824698,4272
gru,108,327.32703908284503,394.4412514186253,99.34186681583549,0.6168679000111297,4272
lstm,108,364.9097312644676,435.9857716961861,122.3363867451502,0.5980746999848634,4272
rf,112,71.09976190476202,107.40882953141946,15.388362606423511,0.02555010002106428,4273
gru,112,270.967274257115,337.04164559294355,114.58881717817351,0.6326536000706255,4273
lstm,112,360.86137662615096,448.58174271368125,159.9586259190811,0.5644251999910921,4273
rf,112,66.47586309523821,103.67766378232636,11.482304771761807,0.022575399954803288,4321
gru,112,395.4807861873082,476.7419714819621,128.25963369986692,0.8753832000074908,4321
lstm,112,455.00472586495533,542.5455220263676,155.8310427966461,1.1572547000832856,4321
rf,112,47.43077380952386,64.0911349251366,11.852830153726979,0.03384010004810989,4324
gru,112,290.11474473135814,349.3014247770677,109.99804181126045,0.5622454000404105,4324
lstm,112,345.4358882904053,403.5184372378844,135.40348385836768,0.432690899935551,4324
rf,112,69.50970238095225,96.98256643879617,13.35927476145675,0.05611770006362349,4335
gru,112,304.29444476536344,356.90305762643726,142.56653180948365,0.6445516999810934,4335
lstm,112,306.1220964704241,365.83107408946773,137.71501178544,0.7468230000231415,4335
rf,112,275.72366071428587,387.1754125766115,31.251906670051294,0.02413239993620664,4812
gru,112,367.608067376273,416.95909816069565,95.97578601544068,0.5726269000442699,4812
lstm,112,485.1176610674177,546.7037864437009,134.0724501003994,0.4702971999067813,4812
rf,112,81.61244047619064,133.4345086535085,11.867972312013512,0.028872800059616566,4821
gru,112,417.2752265930176,470.46726497468677,85.51193451259803,0.487065099994652,4821
lstm,112,446.6253852844238,512.0673402501044,93.59291069059603,0.41122360003646463,4821
